model, tpb, share, grid, time
tHeatC-full.csv, 1024.0, 5.0, 81920.0, 134.52946117
tHeatC-full.csv, 96.0, 30.0, 99840.0, 131.02346451
tHeatC-full.csv, 64.0, 50.0, 102400.0, 129.43530516
tHeatC-full.csv, 192.0, 70.0, 107520.0, 137.78837815
tHeatC-full.csv, 384.0, 100.0, 122880.0, 135.03689028
tHeatC-full.csv, 512.0, 75.0, 491520.0, 155.89202013
tHeatC-full.csv, 96.0, 25.0, 499200.0, 161.35582227
tHeatC-full.csv, 128.0, 45.0, 501760.0, 159.79098431
tHeatC-full.csv, 192.0, 70.0, 506880.0, 157.1917808
tHeatC-full.csv, 256.0, 40.0, 512000.0, 164.2117598
tHeatC-full.csv, 384.0, 20.0, 522240.0, 166.9066327
tHeatC-full.csv, 1024.0, 15.0, 983040.0, 195.97025876
tHeatC-full.csv, 96.0, 80.0, 998400.0, 203.8606384
tHeatC-full.csv, 64.0, 45.0, 1003520.0, 195.45599612
tHeatC-full.csv, 384.0, 70.0, 1013760.0, 199.51781279
tHeatC-full.csv, 512.0, 30.0, 1024000.0, 198.14101602
tHeatC-full.csv, 768.0, 15.0, 1044480.0, 201.43497469
tHeatC-full.csv, 192.0, 35.0, 1996800.0, 271.65582152
tHeatC-full.csv, 64.0, 45.0, 2001920.0, 275.55661328
tHeatC-full.csv, 96.0, 20.0, 2004480.0, 272.0783083
tHeatC-full.csv, 256.0, 35.0, 2007040.0, 273.51370654
tHeatC-full.csv, 768.0, 5.0, 2027520.0, 275.62681585
tHeatC-full.csv, 1024.0, 60.0, 2048000.0, 280.59399539
tHeatC-full.csv, 1024.0, 100.0, 4997120.0, 542.08951441
tHeatC-full.csv, 96.0, 85.0, 4999680.0, 571.15127317
tHeatC-full.csv, 64.0, 30.0, 5002240.0, 568.32263001
tHeatC-full.csv, 192.0, 20.0, 5007360.0, 545.50381466
tHeatC-full.csv, 768.0, 15.0, 5038080.0, 573.19898721
tHeatC-full.csv, 768.0, 60.0, 7987200.0, 3491.74660656
tHeatC-full.csv, 96.0, 65.0, 8002560.0, 4408.29647638
tHeatC-full.csv, 256.0, 0.0, 8007680.0, 3703.5044184
tHeatC-full.csv, 384.0, 0.0, 8017920.0, 3913.70800014
tHeatC-full.csv, 1024.0, 60.0, 8028160.0, 3753.16397704
tHeatC-full.csv, 1024.0, 100.0, 9994240.0, 7794.07808253
tHeatC-full.csv, 96.0, 15.0, 9999360.0, 8738.71215918
tHeatC-full.csv, 128.0, 70.0, 10004480.0, 8893.6883675
tHeatC-full.csv, 384.0, 35.0, 10014720.0, 8639.99081659
tHeatS-full.csv, 1024.0, 100.0, 81920.0, 5.83430609
tHeatS-full.csv, 96.0, 55.0, 99840.0, 8.32915779
tHeatS-full.csv, 256.0, 25.0, 102400.0, 7.0364913
tHeatS-full.csv, 192.0, 5.0, 107520.0, 7.98583977
tHeatS-full.csv, 768.0, 80.0, 122880.0, 7.02969584
tHeatS-full.csv, 1024.0, 60.0, 491520.0, 24.2356999
tHeatS-full.csv, 96.0, 100.0, 499200.0, 30.87705878
tHeatS-full.csv, 128.0, 95.0, 501760.0, 29.37407086
tHeatS-full.csv, 192.0, 70.0, 506880.0, 28.44923388
tHeatS-full.csv, 256.0, 60.0, 512000.0, 27.56004687
tHeatS-full.csv, 384.0, 45.0, 522240.0, 26.8452956
tHeatS-full.csv, 1024.0, 70.0, 983040.0, 47.14487407
tHeatS-full.csv, 192.0, 20.0, 998400.0, 53.61820182
tHeatS-full.csv, 256.0, 100.0, 1003520.0, 52.06997351
tHeatS-full.csv, 384.0, 50.0, 1013760.0, 50.65832132
tHeatS-full.csv, 512.0, 95.0, 1024000.0, 50.27158962
tHeatS-full.csv, 768.0, 5.0, 1044480.0, 50.39821068
tHeatS-full.csv, 384.0, 5.0, 1996800.0, 98.38371382
tHeatS-full.csv, 64.0, 75.0, 2001920.0, 124.05462405
tHeatS-full.csv, 96.0, 15.0, 2004480.0, 115.51667931
tHeatS-full.csv, 512.0, 75.0, 2007040.0, 97.24618091
tHeatS-full.csv, 768.0, 65.0, 2027520.0, 96.62716412
tHeatS-full.csv, 1024.0, 80.0, 2048000.0, 96.83680792
tHeatS-full.csv, 1024.0, 10.0, 4997120.0, 234.60244903
tHeatS-full.csv, 96.0, 60.0, 4999680.0, 284.04218968
tHeatS-full.csv, 64.0, 80.0, 5002240.0, 305.27592815
tHeatS-full.csv, 384.0, 100.0, 5007360.0, 245.16775738
tHeatS-full.csv, 768.0, 95.0, 5038080.0, 238.45776769
tHeatS-full.csv, 768.0, 65.0, 7987200.0, 378.49186828
tHeatS-full.csv, 192.0, 60.0, 8002560.0, 423.26488192
tHeatS-full.csv, 256.0, 25.0, 8007680.0, 409.12185796
tHeatS-full.csv, 384.0, 40.0, 8017920.0, 395.21538808
tHeatS-full.csv, 1024.0, 90.0, 8028160.0, 376.3390705
tHeatS-full.csv, 1024.0, 5.0, 9994240.0, 468.55805872
tHeatS-full.csv, 192.0, 25.0, 9999360.0, 531.56892616
tHeatS-full.csv, 128.0, 70.0, 10004480.0, 558.51575575
tHeatS-full.csv, 768.0, 30.0, 10014720.0, 474.51575451
tEulerC-full.csv, 1024.0, 70.0, 81920.0, 641.81530476
tEulerC-full.csv, 96.0, 85.0, 99840.0, 729.07980283
tEulerC-full.csv, 128.0, 80.0, 102400.0, 727.03750928
tEulerC-full.csv, 192.0, 90.0, 107520.0, 774.01347955
tEulerC-full.csv, 768.0, 75.0, 122880.0, 820.22221883
tEulerC-full.csv, 1024.0, 60.0, 491520.0, 2418.57556502
tEulerC-full.csv, 96.0, 65.0, 499200.0, 2472.39327431
tEulerC-full.csv, 128.0, 100.0, 501760.0, 2492.50717958
tEulerC-full.csv, 192.0, 95.0, 506880.0, 2477.07915306
tEulerC-full.csv, 256.0, 25.0, 512000.0, 2547.65681426
tEulerC-full.csv, 384.0, 40.0, 522240.0, 2576.43040021
tEulerC-full.csv, 1024.0, 45.0, 983040.0, 4566.66632493
tEulerC-full.csv, 192.0, 10.0, 998400.0, 4625.09095669
tEulerC-full.csv, 128.0, 25.0, 1003520.0, 4624.37450886
tEulerC-full.csv, 384.0, 15.0, 1013760.0, 4681.5969944
tEulerC-full.csv, 512.0, 90.0, 1024000.0, 4740.98233382
tEulerC-full.csv, 768.0, 75.0, 1044480.0, 4803.88526122
tEulerC-full.csv, 192.0, 55.0, 1996800.0, 9509.27424431
tEulerC-full.csv, 64.0, 40.0, 2001920.0, 9486.49879296
tEulerC-full.csv, 96.0, 5.0, 2004480.0, 9543.46048832
tEulerC-full.csv, 256.0, 65.0, 2007040.0, 9573.69979222
tEulerC-full.csv, 768.0, 25.0, 2027520.0, 9923.33273093
tEulerC-full.csv, 1024.0, 5.0, 2048000.0, 9922.55524794
tEulerC-full.csv, 256.0, 70.0, 4997120.0, 42446.34155432
tEulerC-full.csv, 96.0, 90.0, 4999680.0, 42433.02126725
tEulerC-full.csv, 64.0, 0.0, 5002240.0, 42461.00473403
tEulerC-full.csv, 192.0, 10.0, 5007360.0, 42484.90409056
tEulerC-full.csv, 768.0, 85.0, 5038080.0, 42815.94359874
tEulerC-full.csv, 768.0, 95.0, 7987200.0, 67756.52070839
tEulerC-full.csv, 192.0, 50.0, 8002560.0, 67725.84136326
tEulerC-full.csv, 256.0, 35.0, 8007680.0, 67802.64457066
tEulerC-full.csv, 384.0, 85.0, 8017920.0, 68077.2460699
tEulerC-full.csv, 1024.0, 25.0, 8028160.0, 68016.02013905
tEulerC-full.csv, 1024.0, 90.0, 9994240.0, 84726.20352108
tEulerC-full.csv, 96.0, 80.0, 9999360.0, 84776.6257127
tEulerC-full.csv, 128.0, 55.0, 10004480.0, 84963.60150972
tEulerC-full.csv, 384.0, 75.0, 10014720.0, 84849.04515742
tEulerS-full.csv, 1024.0, 5.0, 81920.0, 441.7146168
tEulerS-full.csv, 96.0, 65.0, 99840.0, 503.18961441
tEulerS-full.csv, 64.0, 75.0, 102400.0, 515.6268227
tEulerS-full.csv, 192.0, 85.0, 107520.0, 537.65344872
tEulerS-full.csv, 384.0, 5.0, 122880.0, 604.18504413
tEulerS-full.csv, 1024.0, 45.0, 491520.0, 2116.3514272
tEulerS-full.csv, 96.0, 35.0, 499200.0, 2164.35155229
tEulerS-full.csv, 128.0, 80.0, 501760.0, 2175.44893794
tEulerS-full.csv, 192.0, 5.0, 506880.0, 2192.86394813
tEulerS-full.csv, 256.0, 35.0, 512000.0, 2213.91057498
tEulerS-full.csv, 384.0, 50.0, 522240.0, 2255.02950332
tEulerS-full.csv, 1024.0, 80.0, 983040.0, 4211.48720973
tEulerS-full.csv, 192.0, 100.0, 998400.0, 4291.97850208
tEulerS-full.csv, 256.0, 25.0, 1003520.0, 4308.28591711
tEulerS-full.csv, 384.0, 30.0, 1013760.0, 4352.00144374
tEulerS-full.csv, 512.0, 10.0, 1024000.0, 4393.29165965
tEulerS-full.csv, 768.0, 25.0, 1044480.0, 4476.54828895
tEulerS-full.csv, 384.0, 30.0, 1996800.0, 8544.92589595
tEulerS-full.csv, 64.0, 75.0, 2001920.0, 8616.42565182
tEulerS-full.csv, 96.0, 65.0, 2004480.0, 8625.59521816
tEulerS-full.csv, 512.0, 80.0, 2007040.0, 8586.81757624
tEulerS-full.csv, 768.0, 40.0, 2027520.0, 8667.24589529
tEulerS-full.csv, 1024.0, 15.0, 2048000.0, 8750.37031559
tEulerS-full.csv, 1024.0, 50.0, 4997120.0, 21340.19788355
tEulerS-full.csv, 96.0, 55.0, 4999680.0, 21427.35140257
tEulerS-full.csv, 64.0, 0.0, 5002240.0, 21487.53376876
tEulerS-full.csv, 384.0, 30.0, 5007360.0, 21399.88084319
tEulerS-full.csv, 768.0, 95.0, 5038080.0, 21512.08390327
tEulerS-full.csv, 768.0, 70.0, 7987200.0, 34116.89253214
tEulerS-full.csv, 192.0, 95.0, 8002560.0, 34245.41376255
tEulerS-full.csv, 256.0, 40.0, 8007680.0, 34245.60251205
tEulerS-full.csv, 384.0, 70.0, 8017920.0, 34238.91725048
tEulerS-full.csv, 1024.0, 45.0, 8028160.0, 34262.73939355
tEulerS-full.csv, 1024.0, 60.0, 9994240.0, 42655.23802799
tEulerS-full.csv, 192.0, 65.0, 9999360.0, 42747.29627465
tEulerS-full.csv, 128.0, 60.0, 10004480.0, 42825.55499292
tEulerS-full.csv, 768.0, 80.0, 10014720.0, 42755.47422003
